Date,Close,High,Low,Open,Volume
2009-08-06,1.1397743225097656,1.1911979762793328,1.096099385570492,1.1623161739775658,241978000
2009-08-07,1.1573853492736816,1.1806316715747747,1.1292080092663195,1.1376611944735087,24543000
2009-08-10,1.12498140335083,1.1714740491381088,1.0996217631077507,1.1714740491381088,24210000
2009-08-11,1.1038486957550049,1.1270950249232414,1.0918732555341615,1.1256861743017077,23054000
2009-08-12,1.1270948648452759,1.1411835370098864,1.1031440717803718,1.1376613689687338,14513000
2009-08-13,1.1658384799957275,1.1778139161192653,1.1270946392962875,1.1270946392962875,11506000
2009-08-14,1.1693605184555054,1.1975379380156355,1.14470534981859,1.1623161845592438,6378000
2009-08-17,1.1425929069519043,1.153159415879802,1.141184055889881,1.1461150765945367,2544000
2009-08-18,1.2024688720703125,1.211626522299297,1.1517496043328834,1.160907254561868,14467000
2009-08-19,1.2602330446243286,1.2637552129266976,1.1834496412724982,1.186267426299463,20708000
2009-08-20,1.2510751485824585,1.2644593519560894,1.2179667057554033,1.2644593519560894,18821000
2009-08-21,1.255301833152771,1.2658684211202729,1.2383954603549863,1.2531885995343797,8636000
2009-08-24,1.232759714126587,1.257414884896093,1.2186710451154406,1.2341685642326834,10216000
2009-08-25,1.2574151754379272,1.2609373435045557,1.236282167038156,1.2433265031714131,5308000
2009-08-26,1.2574151754379272,1.2574151754379272,1.208104822505128,1.2461442880097824,7086000
2009-08-27,1.2792521715164185,1.2827743382627712,1.2362817036208846,1.2574147040990005,11611000
2009-08-28,1.3010896444320679,1.3384246288961943,1.2679812096963778,1.2750255432188515,12950000
2009-08-31,1.2820701599121094,1.2961588291460184,1.2545972045209313,1.2926366618375411,10048000
2009-09-01,1.2574151754379272,1.29897680900921,1.1933116830352442,1.285592603946066,13835000
2009-09-02,1.2454395294189453,1.285592303164313,1.2313508604486665,1.2510750138020752,12934000
2009-09-03,1.2292375564575195,1.2658681633521627,1.1975380509352958,1.2658681633521627,36577000
2009-09-04,1.2510751485824585,1.267981519578108,1.2320553762434778,1.2503706814680147,11586000
2009-09-08,1.2468485832214355,1.26305057197923,1.2292377441314641,1.2510752181930704,5749000
2009-09-09,1.215852975845337,1.2574145900682612,1.2130352762938141,1.2574145900682612,5512000
2009-09-10,1.2010600566864014,1.229941858090185,1.1940157230732913,1.1982422728561088,4152000
2009-09-11,1.1890846490859985,1.22078423503245,1.1651339478532194,1.197537916791763,6203000
2009-09-14,1.1728826761245728,1.1904935947009847,1.1489319746567992,1.1721782931255695,16145000
2009-09-15,1.210218071937561,1.2221934258941975,1.1714741414129741,1.2151490901579283,19869000
2009-09-16,1.2383952140808105,1.250370566095682,1.2052867743086881,1.225715395016497,20211000
2009-09-17,1.1721787452697754,1.260937419487366,1.1644299414662134,1.2440310453388324,14464000
2009-09-18,1.1411837339401245,1.1989473669631916,1.1397748832755648,1.1672477651474142,8999000
2009-09-21,1.17006516456604,1.1714740147659632,1.1179370353681097,1.1468188423544696,5530000
2009-09-22,1.2151485681533813,1.223601750610558,1.1848579207046843,1.1947199529088788,11141000
2009-09-23,1.2257153987884521,1.2531883541748576,1.2186710641727212,1.2412129181480414,5303000
2009-09-24,1.2320548295974731,1.2574144588143241,1.1799267215350715,1.2207839485928105,7788000
2009-09-25,1.2066956758499146,1.2313508462638827,1.2045823587336995,1.2313508462638827,4685000
2009-09-28,1.2433263063430786,1.2574149763792453,1.1996513620508837,1.220079983988384,2336000
2009-09-29,1.1996513605117798,1.2567105916501868,1.1940159596846212,1.2362819697388958,3567000
2009-09-30,1.2024688720703125,1.2207841725282818,1.1947200717284614,1.1975378554778064,5126000
2009-10-01,1.1489322185516357,1.2038780509666756,1.1418878832157358,1.197538182754406,6605000
2009-10-02,1.133434534072876,1.152454305324823,1.12005033146419,1.141183335988491,6296000
2009-10-05,1.161611795425415,1.1644294953790184,1.1270945091308138,1.134138842989906,1889000
2009-10-06,1.1602033376693726,1.2116270967173004,1.1580901038243525,1.1792231140754974,4694000
2009-10-07,1.1362520456314087,1.1700648615483704,1.121458912425527,1.1672470779031632,2917000
2009-10-08,1.1277989149093628,1.1397743498917492,1.1228678979034254,1.1348432489107265,5573000
2009-10-09,1.1447055339813232,1.1587942040404624,1.1228680617996185,1.125685846196505,8705000
