Date,Close,High,Low,Open,Volume
2013-01-02,20.89845085144043,21.065068750837625,20.291490997131664,20.77943871471892,13767900
2013-01-03,20.72588348388672,20.827042314113744,20.327193207776315,20.827042314113744,16739300
2013-01-04,20.464054107666016,20.761583250888766,20.3807463107584,20.600917241152416,21372100
2013-01-07,20.50571060180664,21.094819378744777,20.3212439624371,20.3212439624371,17897100
2013-01-08,20.059417724609375,20.612822207320505,19.851148196693405,20.404552679404535,17863300
2013-01-09,20.172483444213867,20.202235914315004,19.999915939672125,19.999915939672125,18800400
2013-01-10,20.231985092163086,20.231985092163086,19.833297063754905,20.029665150442753,15658100
2013-01-11,20.38252067565918,20.41262963525275,20.08144945565245,20.225964651931772,11191500
2013-01-14,20.527034759521484,20.62337745282292,20.352412910102956,20.478862264375273,11584900
2013-01-15,20.834131240844727,20.90639000043461,20.298224740673174,20.298224740673174,13040200
2013-01-16,21.4001407623291,21.4001407623291,20.743805475456615,20.75584859871007,16512700
2013-01-17,21.930028915405273,22.0986303786507,21.526594539871233,21.526594539871233,14424800
2013-01-18,22.471948623657227,22.471948623657227,21.701207277410848,21.93604238778339,17842200
2013-01-22,21.930028915405273,22.42980829678891,21.634980374460664,22.26722954490476,15809700
2013-01-23,22.760976791381836,22.785063032872003,21.97819231887479,22.225070551672946,10981600
2013-01-24,22.55624771118164,23.194519311141597,22.41775527191483,22.75495575251468,11327100
2013-01-25,22.640554428100586,22.785069621841963,22.062498247117247,22.592384228180848,8934600
2013-01-28,22.213022232055664,22.803121228511824,22.104636467707607,22.67065152530077,7140100
2013-01-29,22.46593475341797,22.556254739173344,21.827662954587723,22.104647919423254,8838500
2013-01-30,22.23711585998535,22.598400329917382,22.164859425397072,22.164859425397072,10841800
2013-01-31,22.092605590820312,22.237120789020455,21.839706865209,22.182927876819296,10720700
2013-02-01,22.387645721435547,22.39968884028989,21.990231987202552,22.18291729489188,9527500
2013-02-04,22.447866439819336,22.459909562655042,22.008302792774618,22.0624956970399,6348000
2013-02-05,22.399694442749023,22.718829132743636,22.387651320882544,22.532164189299085,7284400
2013-02-06,22.363563537597656,22.447863087869063,22.19496443705484,22.255177745251427,5738900
2013-02-07,21.930028915405273,22.622493714505367,21.55670120570355,22.622493714505367,9872500
2013-02-08,21.827653884887695,21.930016952275363,21.57475527346632,21.899910302866644,13858700
2013-02-11,21.58679962158203,21.785507674718353,21.52658631292947,21.75540102039207,6032100
2013-02-12,21.32788848876953,21.61691894049582,21.195418686802533,21.53863976411197,7473800
2013-02-13,21.23756217956543,21.41820443553946,21.165305736574,21.32788215905699,4859800
2013-02-14,22.020341873168945,22.11668454117745,21.080999137343245,21.105085378592968,7570100
2013-02-15,22.62851333618164,22.767005817693697,22.23711984282809,22.23711984282809,13296300
2013-02-19,22.995811462402344,23.080113306001113,22.345499033573017,22.604420382150447,8292700
2013-02-20,23.248716354370117,23.561830650033947,22.646574008168315,22.977751839181153,8096400
2013-02-21,23.351076126098633,23.501611691216837,22.99581210054006,23.17645661627425,7260900
2013-02-22,23.158397674560547,23.393232858474025,22.965712277657634,23.357105782174177,4490400
2013-02-25,22.50206184387207,23.248719463697636,22.50206184387207,23.20656967758558,4665600
2013-02-26,22.33346176147461,22.640553375535532,22.25518260612929,22.640553375535532,4463000
2013-02-27,22.116695404052734,22.267231040315274,21.91798955862178,22.26121062554104,12238400
2013-02-28,22.231094360351562,22.363566411798132,21.978195677034407,22.074538360725338,10321000
2013-03-01,22.767005920410156,22.923561940263266,22.00830517845375,22.158840784731808,8929400
2013-03-04,23.025928497314453,23.03194891119028,22.598405608413053,22.598405608413053,5420800
2013-03-05,22.58635711669922,23.224628794456088,22.45388736998789,23.152372360159852,6650400
2013-03-06,22.724853515625,22.79710995515422,22.502059190174478,22.61646770783577,5489500
2013-03-07,22.574312210083008,22.887424134415582,22.544203262328917,22.670654870721545,4442500
2013-03-08,22.48399543762207,22.670660393011705,22.37560963087851,22.664637683197743,4114500
2013-03-11,22.68269920349121,22.971729527123305,22.32743745371584,22.42980054155134,4614400
2013-03-12,22.38163185119629,23.06205340470457,22.309375406528893,22.70076888437663,6523900
2013-03-13,22.38163185119629,22.634532853018616,22.30335499321951,22.399697685106357,3710600
2013-03-14,22.616466522216797,22.63453005690446,22.194966435909446,22.538187376919122,9859700
2013-03-15,23.18248176574707,23.20656801236592,22.447867322808385,22.54421001229289,12208300
2013-03-18,22.977754592895508,23.17646269351137,22.875391484329302,22.911518559356885,5178700
2013-03-19,23.09818458557129,23.122270834678204,22.785070238154788,23.031948549022836,5108400
2013-03-20,23.519681930541992,23.597958785245982,23.12828846905859,23.182481374541048,7072900
2013-03-21,23.17645835876465,23.465486389882923,23.170435649392466,23.375164125225073,4736100
2013-03-22,23.46548843383789,23.46548843383789,23.06205185941302,23.224630571764166,3323400
2013-03-25,23.676239013671875,23.796667953219767,23.441403844898513,23.55581007412398,6065000
2013-03-26,24.21214485168457,24.39880981873854,23.82677409117785,23.82677409117785,7249500
2013-03-27,24.176013946533203,24.26031349990844,23.88096321272931,24.218163723220822,4274800
2013-03-28,24.555362701416016,24.567405823271887,23.953220390566262,24.24224842413527,7263400
2013-04-01,24.760093688964844,24.772136812041552,24.061608629451925,24.061608629451925,5740000
2013-04-02,24.513219833374023,24.82031378478795,24.398813588979564,24.82031378478795,5510700
2013-04-03,24.428909301757812,24.95879509027508,24.29643728038094,24.53729508343158,4122100
2013-04-04,25.04912757873535,25.157513414647443,24.459028192653616,24.54935048824416,20687600
2013-04-05,24.87449836730957,24.988904573379546,24.742026330919753,24.87449836730957,14089800
2013-04-08,25.15148162841797,25.211694933593048,24.729981601221347,24.85041050856186,16449200
2013-04-09,25.62116050720215,26.229325661349527,25.169553674653375,25.265896373717467,8673900
2013-04-10,26.265445709228516,26.355767970364425,25.591046996249407,25.681369257385317,7809200
2013-04-11,26.2532958984375,26.56322961617956,26.198601440218383,26.38699165989025,6494100
2013-04-12,26.186439514160156,26.307982978141446,25.90081272154144,26.113514363070884,4199800
2013-04-15,25.1837158203125,26.14998303372932,25.165485107045008,26.05274869922037,7152500
2013-04-16,25.797513961791992,25.846129978442292,24.995329981938728,25.323494469515207,6998000
2013-04-17,25.669902801513672,25.785367907721916,25.171573976942454,25.609129862785196,5046200
2013-04-18,25.718503952026367,25.912972606925493,25.457186262333934,25.748889244682623,5009000
2013-04-19,25.76104736328125,25.876514736781633,25.645582308030416,25.833972539321273,6493200
2013-04-22,26.861005783081055,27.24386691525053,26.058822099272888,26.13174725646028,8531300
2013-04-23,27.432273864746094,28.149378250429564,26.982565749266854,27.110185431909585,9378100
2013-04-24,26.933940887451172,27.553810748095334,26.703008433113197,27.432267229062198,5541300
2013-04-25,26.88532257080078,27.219565480860716,26.59361722277616,27.19525631548373,5236900
2013-04-26,27.85765838623047,28.143285205686745,27.195248879453484,27.31679235485503,10096800
2013-04-29,27.48695945739746,27.912360580231802,27.37757053100436,27.85158998479102,6024700
2013-04-30,27.98528480529785,28.09467372796543,27.35326043394064,27.377569598588888,6798600
2013-05-01,27.681427001953125,28.009593767584946,27.681427001953125,27.796894374073315,6398100
2013-05-02,26.733379364013672,27.760416706332958,26.654375778220388,27.760416706332958,9649400
2013-05-03,27.152713775634766,27.20740823325095,26.636156812342563,26.927859813545744,4641200
2013-05-06,27.0980167388916,27.31679454853356,26.830622926134293,27.31679454853356,4085700
2013-05-07,27.292491912841797,27.347186378328445,26.994710418914572,27.043328751902575,3745600
2013-05-08,26.42953872680664,27.37757308636822,26.368765807443825,27.353263918623096,6973200
2013-05-09,26.88532257080078,27.012942211655545,26.283683478093213,26.33837794106663,5046900
2013-05-10,27.353256225585938,27.353256225585938,26.861008467564712,26.86708459866718,4455800
2013-05-13,27.06763458251953,27.219563377008413,26.84277829753639,27.219563377008413,3738400
2013-05-14,27.55988121032715,27.663193991635907,26.794161138991694,26.794161138991694,5760300
2013-05-15,27.973134994506836,28.52007970114012,27.638892037453136,27.78474473197199,6702500
2013-05-16,28.082517623901367,28.501842577487807,27.960974125495884,27.991361738784313,4605300
2013-05-17,28.665922164916992,28.769234944653075,27.863738362110386,27.97312727324304,5244800
2013-05-20,28.1129150390625,28.647705271657298,27.997449940834816,28.63555068475169,3537800
2013-05-21,28.283063888549805,28.538303141056804,28.058207611913442,28.0703621932113,4708800
2013-05-22,28.416757583618164,29.170325341640172,27.863736925079536,28.234443513882745,5203500
2013-05-23,28.313451766967773,28.53222961379939,27.96705428223423,28.027824876020986,3306200
2013-05-24,27.614574432373047,28.246598718454017,27.535573135299845,28.106824517960018,4511700
2013-05-28,27.584196090698242,27.979211948600764,27.164873383551573,27.888053729623316,6181800
2013-05-29,26.666545867919922,27.456575230716037,26.61185140258982,27.280337251513526,6908400
2013-05-30,27.07371711730957,27.420114665208647,26.78201404109192,26.78201404109192,4852200
2013-05-31,25.9433536529541,27.15878370624638,25.93727752271713,26.90354450781445,9308800
2013-06-03,26.35053253173828,26.484230623102604,25.97982587350056,26.058829501874897,7176800
2013-06-04,26.514617919921875,27.025098840235685,26.362689102188597,26.386995951156084,4528400
2013-06-05,26.156063079833984,26.678698529057126,25.943361366318996,26.429535386782085,4801300
2013-06-06,26.435598373413086,26.478138231312727,25.919041631346897,26.265438941814505,4261300
2013-06-07,26.739469528198242,26.903552914856682,26.435611919923264,26.56931000940412,5463200
2013-06-10,26.69084930419922,26.94001475082414,26.265450537399126,26.94001475082414,4702700
2013-06-11,26.490304946899414,26.769853374986578,26.162138191362594,26.32014543732452,3574800
2013-06-12,25.99197769165039,26.739467060843126,25.961592397276576,26.68477260367052,3742600
2013-06-13,26.222915649414062,26.253300950216136,24.369382163239486,25.779281448354347,6096500
2013-06-14,26.259370803833008,26.43560875189212,25.827893608170463,26.119596598966943,4078500
2013-06-17,26.137828826904297,26.435610284622904,25.937284023338243,26.374839694026992,3457700
2013-06-18,26.459917068481445,26.47207164915739,25.90689639809675,26.113519633089343,3644900
2013-06-19,26.156063079833984,26.636158650004038,26.137830047204414,26.472075265835176,3663300
2013-06-20,24.95278549194336,25.998053998599605,24.861627289957635,25.919052696344647,7474900
2013-06-21,25.90081787109375,25.95551232484714,25.037863509928247,25.317411909890378,9825700
2013-06-24,25.45718765258789,25.767123682055775,25.110790197240977,25.56657656672369,6042400
2013-06-25,25.906896591186523,25.991976338303022,25.287026881588726,25.615193607537428,4686900
2013-06-26,26.362693786621094,26.502468045582464,26.14999201304929,26.19253190411361,4733700
2013-06-27,26.210758209228516,26.727315221323547,25.973749643249626,26.472075940500005,5163900
2013-06-28,25.122940063476562,26.11351623634816,25.110785484381637,25.846120132757665,10753100
2013-07-01,25.287025451660156,25.481494096429426,24.9588587442686,25.159405838202034,4588200
2013-07-02,25.65165901184082,25.87043686308673,25.26880009041007,25.26880009041007,4365900
2013-07-03,25.663808822631836,25.712427144201897,25.287026103460533,25.451109461385737,2417500
2013-07-05,25.96159553527832,26.028444581930433,25.712432382097496,25.797512143927587,2743700
2013-07-08,26.544998168945312,26.5510743004686,26.022362764467786,26.070981089651436,3978300
2013-07-09,26.32621192932129,26.879232451190855,26.28367206750429,26.739458288328063,3805700
2013-07-10,26.684776306152344,26.812395951179056,26.35053338516586,26.35053338516586,3080100
2013-07-11,26.85036849975586,27.052759340698564,26.574384392378906,26.94849675427174,4061400
2013-07-12,27.629257202148438,27.66605616781359,26.862629630837098,26.942359553330746,5693900
2013-07-15,27.365535736083984,27.580192848850647,27.31647279059206,27.567926527587275,3265800
2013-07-16,26.86876106262207,27.45753041237053,26.801297469295623,27.316471235215882,3714500
2013-07-17,26.960756301879883,27.077285183276643,26.82583144806057,26.966890632248948,3645400
2013-07-18,27.18154525756836,27.328738771333196,26.86876225771519,26.960756156701873,3043700
2013-07-19,27.304201126098633,27.543388495023283,27.058879427961962,27.28580281758477,4317900
2013-07-22,27.5801944732666,27.659922056831963,26.86262984424644,27.169280875207157,3810500
2013-07-23,27.1754150390625,27.653789895763172,27.12634975142054,27.54952732930485,3535100
2013-07-24,26.76450538635254,27.212215674012477,26.611179849226723,27.157018387064703,3088100
2013-07-25,27.132484436035156,27.24901098636209,26.58664363192676,26.623442598138183,4088500
2013-07-26,27.469799041748047,27.67218749917653,27.08955009095966,27.604723900179827,4491100
2013-07-29,27.63540267944336,27.874590203837446,27.27355422625259,27.426879802357785,4326200
2013-07-30,27.414608001708984,27.739657409490082,27.10795691072692,27.647663485932757,3619700
2013-07-31,27.892974853515625,28.156694902328148,27.482063633937937,27.500461945393212,6020600
2013-08-01,27.75191879272461,28.15056607584811,27.623125918938275,27.684455190390317,3652400
2013-08-02,27.79485321044922,27.856182489535293,27.482070143810986,27.666060320631242,3190700
2013-08-05,27.420734405517578,27.825513669533592,27.279675213162477,27.62925719846896,2953500
2013-08-06,27.524995803833008,27.592459401566675,27.242875091532078,27.242875091532078,4980600
2013-08-07,27.33487319946289,27.512731362082278,27.120218409792415,27.414603124009812,3299400
2013-08-08,27.63540267944336,27.70899830089632,27.35941617454148,27.512741750646676,2892400
2013-08-09,27.420734405517578,27.598592563532925,27.273543221999944,27.53726329366086,3290800
2013-08-12,27.623130798339844,27.721259053733718,27.22448344479853,27.420739955586274,3826400
2013-08-13,27.555660247802734,27.708985754483336,27.402334741122132,27.67218679063783,2791800
2013-08-14,27.341012954711914,27.73965797741289,27.261283014346837,27.5066024884177,2990500
2013-08-15,26.500782012939453,27.365537842290387,26.451719063671366,27.35327152008293,4363100
2013-08-16,26.37198829650879,26.457850209655927,26.016271982543024,26.335189331062157,6093300
2013-08-19,26.59891128540039,26.868765705334905,26.341325527712165,26.378122156203723,3326900
2013-08-20,26.35359764099121,26.666380749705468,26.279999688712984,26.549854167941792,2803000
2013-08-21,25.948810577392578,26.298392558722934,25.912011612150877,26.261593593481237,4118800
2013-08-22,26.32292366027832,26.43331821978688,25.936545041560088,26.004008643433288,4077700
2013-08-23,26.635711669921875,26.678642631819617,26.279995311841205,26.378123558973467,2738100
2013-08-26,26.647974014282227,26.82583216676544,26.48851417427603,26.63570769277701,3493400
2013-08-27,26.145063400268555,26.42718174242826,26.12666275043287,26.384250792080536,4473000
2013-08-28,26.10212516784668,26.255450616187872,25.973330013173964,26.08372452314448,3009700
2013-08-29,26.138933181762695,26.427185899059577,25.918144065497998,25.954943031396013,2788900
2013-08-30,26.132801055908203,26.390386797181982,25.942676575757307,26.22479496083669,3170700
2013-09-03,26.120527267456055,26.543704724109904,25.948803489027423,26.371980945681273,2925600
