Date,Close,High,Low,Open,Volume
2008-01-02,47.201663970947266,48.25459516475066,47.18088333824117,48.233809247041336,3736000
2008-01-03,46.495094299316406,47.714270509284354,46.34962459079761,47.4648923561084,3501000
2008-01-04,45.47679138183594,46.3426860947993,45.28975516423478,46.3426860947993,4936000
2008-01-07,45.70539474487305,46.162584464038346,44.887989819090144,45.476797242789104,3973500
2008-01-08,45.005767822265625,46.321929526575516,44.96420654565736,45.7261932318353,5856600
2008-01-09,46.59898376464844,46.65440229017982,44.957250904542825,45.21355233637286,8802400
2008-01-10,48.39313888549805,48.801838777740045,45.90628576396262,46.0863933989354,10950500
2008-01-11,46.017112731933594,48.13682147747576,45.71924471406309,48.06062231348547,8229300
2008-01-14,44.825653076171875,46.398121403144515,44.07059250772561,46.398121403144515,10121500
2008-01-15,44.319950103759766,44.75636173401853,44.13291654793458,44.37536598557796,6862100
2008-01-16,44.40308380126953,45.09579963369184,44.14677968317361,44.33381327502778,9600600
2008-01-17,44.5416259765625,45.4144440386524,44.38922766207008,44.39615101454563,7161200
2008-01-18,44.70098114013672,45.601514426949514,44.09139271037482,44.13988263904899,7358100
2008-01-22,45.81623077392578,46.27342582040127,43.211620063332084,43.454069579643445,9818400
2008-01-23,47.52723693847656,47.79739570881311,44.832572588707464,45.24127242101049,10043800
2008-01-24,46.51586151123047,47.38175615855418,45.78850789347794,47.36789888459616,6217400
2008-01-25,45.345191955566406,47.090839359504336,45.30363068380733,46.612863594258755,5562900
2008-01-28,45.9686164855957,45.97554512272931,45.02652266548692,45.28975274154611,5407900
2008-01-29,46.1902961730957,46.273423983246275,45.2412734926374,46.065607100371274,5705200
2008-01-30,45.87856674194336,46.82758394312463,45.48371897331279,46.0933069346191,5766000
2008-01-31,47.06312942504883,48.199183307275156,45.24821149856338,45.46295177965373,7975200
2008-02-01,46.95920944213867,47.39561853745777,46.39118264037298,47.180878309047166,6057300
2008-02-04,46.39811325073242,47.26400812467485,46.079459286319064,47.09775250367582,4288100
2008-02-05,44.93647003173828,46.321901452399224,44.63167342799241,45.66381835658441,6934300
2008-02-06,44.1329231262207,45.435226931822584,44.119068493075865,45.20663473368652,7394000
2008-02-07,44.85334014892578,45.29667776003013,43.85583052394101,44.55547219599619,8453100
2008-02-08,43.807350158691406,45.442157294312025,43.60646193421855,44.75637010387184,7423400
2008-02-11,44.33381271362305,44.50699166953564,43.62724225639954,43.82813047945842,4825100
2008-02-12,44.61784744262695,45.400614748899436,44.34075994000689,44.631699439505915,4451900
2008-02-13,45.60023498535156,45.718261118344365,44.88512861884228,45.26003983269639,4922500
2008-02-14,44.4407844543457,45.81545341874937,44.24638460258709,45.64188373053188,4277400
2008-02-15,44.378292083740234,44.41994975810837,43.81592804631674,44.15612311736945,4250900
